metric_name,coef_treated_post,std_error,p_value,confidence_interval_low,confidence_interval_high,n_observations,business_interpretation
log_order_count,0.008850202703518915,0.008986849077631138,0.3247248500571258,-0.00876369782313512,0.02646410323017295,28150,Policy-period treated-zone change relative to control zones; negative demand coefficients indicate a relative demand contraction.
avg_fare_per_mile,-0.5793063929260088,0.22830842625163633,0.011168403152801215,-1.026782685746235,-0.1318301001057826,28150,Policy-period treated-zone price or driver-side metric change relative to control zones.
avg_driver_pay_per_minute,-0.019310250425933005,0.008049304185501134,0.016440083781623534,-0.03508659673012274,-0.003533904121743269,28150,Policy-period treated-zone price or driver-side metric change relative to control zones.
airport_trip_count,0.000892261851505298,0.007861500923504194,0.9096360289754281,-0.014515996822991295,0.01630052052600189,28150,Policy-period treated-zone price or driver-side metric change relative to control zones.
short_trip_count,-0.014260103719904762,0.02350729579575677,0.5441000762203974,-0.060333556853517864,0.031813349413708336,28150,Policy-period treated-zone price or driver-side metric change relative to control zones.
